47|2|1991|2|14|30|
4|2|1991|2|14|105|
5|2|1991|2|14|68|
6|2|1991|2|14|70|
7|2|1991|2|14|100|
8|2|1991|2|14|204|
9|2|1991|2|14|63|
10|2|1991|2|14|60|
11|2|1991|2|14|64|
12|2|1991|2|14|75|
13|2|1991|2|14|44|
58|2|1991|2|14|18|
14|2|1991|2|14|8|
15|2|1991|2|14|1|
16|2|1991|2|14|19|
17|2|1991|2|14|50|
63|2|1991|2|14|79|
18|2|1991|2|14|69|
19|2|1991|2|14|60|
20|2|1991|2|14|50|
21|2|1991|2|14|107|
258|2|1991|2|14|80|
126|2|1991|2|14|75|
22|2|1991|2|14|14|
23|2|1991|2|14|9|
24|2|1991|2|14|24|
25|2|1991|2|14|12|
69|2|1991|2|14|35|
70|2|1991|2|14|48|
71|2|1991|2|14|30|
72|2|1991|2|14|22|
26|2|1991|2|14|57|
73|2|1991|2|14|92|
27|2|1991|2|14|85|
28|2|1991|2|14|0|
29|2|1991|2|14|24|
77|2|1991|2|14|4|
78|2|1991|2|14|16|
79|2|1991|2|14|34|
80|2|1991|2|14|40|
81|2|1991|2|14|115|
82|2|1991|2|14|100|
83|2|1991|2|14|34|
84|2|1991|2|14|51|
85|2|1991|2|14|69|
86|2|1991|2|14|37|
87|2|1991|2|14|33|
88|2|1991|2|14|52|
30|2|1991|2|14|59|
31|2|1991|2|14|55|
32|2|1991|2|14|62|
91|2|1991|2|14|34|
426|2|1991|2|14|68|
92|2|1991|2|14|74|
33|2|1991|2|14|86|
34|2|1991|2|14|44|
35|2|1991|2|14|88|
36|2|1991|2|14|44|
37|2|1991|2|14|51|
38|2|1991|2|14|10|
39|2|1991|2|14|2|
162|2|1991|2|14|48|
40|2|1991|2|14|81|
100|2|1991|2|14|62|
101|2|1991|2|14|64|
41|2|1991|2|14|43|
42|2|1991|2|14|61|
43|2|1991|2|14|162|
44|2|1991|2|14|61|
45|2|1991|2|14|100|
46|2|1991|2|14|27|
